UserID,UserName,FullName,Email,Role,RegisteredAt,user_course_id,course_id,status,progress,enrolled_at,completed_at,score,course_title,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
1,cavin1257,CAVINKUMARAN M,ck@gmail.com,employee,2024-10-01 04:22:23.470,52,544234,undertaken,100.0,2023-11-01 11:07:38,2023-11-11 11:07:38,51.0,Mike G's Beginner Drum Course: Part 1,515,14,20,hard,3.0,2015-11-01T20:04:07Z,Musical Instruments
1,cavin1257,CAVINKUMARAN M,ck@gmail.com,employee,2024-10-01 04:22:23.470,53,1257976,assigned,100.0,2024-01-17 20:26:50,2024-03-27 20:26:50,98.0,Your First 10 Guitar Lessons - Learn how to play guitar,924,4,18,easy,1.0,2017-06-29T00:29:36Z,Musical Instruments
1,cavin1257,CAVINKUMARAN M,ck@gmail.com,employee,2024-10-01 04:22:23.470,54,195576,undertaken,100.0,2023-10-20 13:26:29,2023-12-02 13:26:29,89.0,Learn To Play The Drums Without A Drum Kit,1589,52,39,intermediate,2.0,2014-06-27T21:54:58Z,Musical Instruments
2,admin,ADMIN KUMAARU,admin@jman.com,admin,2024-10-03 04:16:36.187,1,880202,assigned,100.0,2024-02-13 18:48:39,2024-02-25 18:48:39,79.0,Anatomy and Figure Drawing for Beginners,2252,240,111,easy,21.0,2016-06-20T15:31:48Z,Graphic Design
2,admin,ADMIN KUMAARU,admin@jman.com,admin,2024-10-03 04:16:36.187,2,1145736,assigned,100.0,2023-11-21 07:10:11,2024-02-17 07:10:11,91.0,Create Professional Looking Infographics With No Experience,9367,104,21,hard,2.0,2017-03-21T19:00:13Z,Graphic Design
2,admin,ADMIN KUMAARU,admin@jman.com,admin,2024-10-03 04:16:36.187,3,1046722,undertaken,100.0,2024-03-29 17:06:36,2024-05-29 17:06:36,99.0,Ultimate Photoshop Training: From Beginner to Pro,5326,447,150,intermediate,11.5,2017-01-12T16:56:22Z,Graphic Design
3,joseph123,JOSEPH KURUVILA,joseph123@gmail.com,employee,2024-10-03 04:53:53.060,133,719698,assigned,100.0,2023-11-24 16:04:04,2023-12-27 16:04:04,64.0,Basic Technical Analysis: Learn the structure of the market,4919,79,16,easy,1.5,2016-01-08T17:21:26Z,Business Finance
3,joseph123,JOSEPH KURUVILA,joseph123@gmail.com,employee,2024-10-03 04:53:53.060,134,58977,undertaken,100.0,2024-01-08 15:30:17,2024-03-14 15:30:17,80.0,Financial Statements Made Easy,8095,249,12,expert,0.5833333134651184,2013-06-09T00:21:26Z,Business Finance
3,joseph123,JOSEPH KURUVILA,joseph123@gmail.com,employee,2024-10-03 04:53:53.060,135,794151,assigned,100.0,2024-10-02 01:31:55,2024-11-06 01:31:55,79.0,Forex Trading Course: Work Smarter Not Harder Proven Results,4061,52,16,intermediate,2.0,2016-03-16T15:40:19Z,Business Finance
4,joyporter,Rodney Robles,joseph80@example.net,employee,2024-10-05 16:18:19.903,136,749542,undertaken,100.0,2024-03-26 10:47:11,2024-04-25 10:47:11,82.0,Graphic Design Bootcamp,15276,1740,65,expert,8.0,2016-05-13T00:03:03Z,Graphic Design
